playerID,homeAway,First Name Last Name,Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,InitPlayerName,InitPlayerID,Away?
794,Home,Jose Calderon,nba.p.3989,Jose,Calderon,PG,ATL,PHI,ATL@PHI,7:00PM EDT,10,8.1,,Patrick Beverley,1684,@PHI
86,Home,Thabo Sefolosha,nba.p.4141,Thabo,Sefolosha,SF,ATL,PHI,ATL@PHI,7:00PM EDT,10,18.7,O,Marquese Chriss,72600,@PHI
112,Home,Paul Millsap,nba.p.4175,Paul,Millsap,PF,ATL,PHI,ATL@PHI,7:00PM EDT,36,35.8,INJ,Marcus Smart,24275,@PHI
18858,Home,Kent Bazemore,nba.p.5102,Kent,Bazemore,SG,ATL,PHI,ATL@PHI,7:00PM EDT,11,21,INJ,Jeremy Lamb,22394,@PHI
26503,Home,Dennis Schroder,nba.p.5187,Dennis,Schroder,PG,ATL,PHI,ATL@PHI,7:00PM EDT,27,30.7,,Michael Kidd-Gilchrist,9290,@PHI
9386,Home,Tim Hardaway Jr.,nba.p.5194,Tim,Hardaway Jr.,SG,ATL,PHI,ATL@PHI,7:00PM EDT,20,22.3,,Jamal Murray,49976,@PHI
17065,Home,Mike Muscala,nba.p.5214,Mike,Muscala,PF,ATL,PHI,ATL@PHI,7:00PM EDT,10,13.8,,Robin Lopez,769,@PHI
2193,Home,Ryan Kelly,nba.p.5218,Ryan,Kelly,SF,ATL,PHI,ATL@PHI,7:00PM EDT,10,3.2,,Gorgui Dieng,22403,@PHI
42410,Home,Taurean Prince,nba.p.5643,Taurean,Prince,SF,ATL,PHI,ATL@PHI,7:00PM EDT,12,10.4,,Ish Smith,3665,@PHI
49891,Home,DeAndre' Bembry,nba.p.5652,DeAndre',Bembry,SF,ATL,PHI,ATL@PHI,7:00PM EDT,10,5.7,,Al-Farouq Aminu,2180,@PHI
